[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /user/register            --> _/Users/weiqizhou/task/gin/api.Register (3 handlers)
[GIN-debug] POST   /user/edit                --> _/Users/weiqizhou/task/gin/api.Edit (3 handlers)
[GIN-debug] POST   /user/login               --> _/Users/weiqizhou/task/gin/api.Login (3 handlers)
[GIN-debug] POST   /user/info                --> _/Users/weiqizhou/task/gin/api.GetInfo (3 handlers)
[GIN] 2020/07/30 - 16:51:52 | 200 |    15.04485ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   29.949434ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   27.032777ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   30.191067ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   20.845305ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   25.443325ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   26.807055ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    30.49578ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   26.919251ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   30.709566ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   26.616275ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   25.999887ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   28.513732ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   28.894294ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    32.13039ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   29.107303ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   28.410447ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   29.045076ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   33.586027ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   29.488998ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    31.22784ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   34.415018ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   31.838672ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   30.639832ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   29.361189ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   35.261158ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   31.843499ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   30.932145ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   35.732619ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   45.186022ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   38.661336ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   37.774424ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   37.022763ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   37.604045ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   38.658472ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   38.293187ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   38.370368ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   39.462647ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   39.331615ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   37.784442ms |       127.0.0.1 | POST     "/user/info"
