2020-07-20 16:45:11 [INF] initlog.go:21 | fqefeq
2020-07-20 16:45:11 [INF] initlog.go:23 | 日志已启动
2020-07-20 17:02:57 [INF] initlog.go:22 | 日志已启动
2020-07-20 17:02:57 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-20 17:02:57 [INF] initmysql.go:24 | MySQL port:3306
2020-07-22 15:01:46 [INF] initlog.go:22 | 日志已启动
2020-07-22 15:01:46 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-22 15:01:46 [INF] initmysql.go:24 | MySQL port:3306
2020-07-22 15:01:46 [INF] initmysql.go:39 | 数据库已经链接
2020-07-22 15:45:46 [INF] initlog.go:22 | 日志已启动
2020-07-22 15:45:46 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-22 15:45:46 [INF] initmysql.go:24 | MySQL port:3306
2020-07-22 15:45:46 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:28:13 [INF] initlog.go:22 | 日志已启动
2020-07-23 11:28:13 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 11:28:13 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 11:28:13 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:32:09 [INF] initlog.go:22 | 日志已启动
2020-07-23 11:32:09 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 11:32:09 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 11:32:09 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:32:09 [INF] initrpc.go:13 | RPC服务注册
2020-07-23 11:34:11 [INF] initlog.go:22 | 日志已启动
2020-07-23 11:34:11 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 11:34:11 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 11:34:11 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:34:11 [INF] initrpc.go:13 | RPC服务注册
2020-07-23 11:34:11 [INF] initrpc.go:27 | RPC服务已注册
2020-07-23 11:36:17 [INF] initlog.go:22 | 日志已启动
2020-07-23 11:36:17 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 11:36:17 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 11:36:17 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:36:17 [INF] initrpc.go:13 | RPC服务注册
2020-07-23 11:42:57 [INF] initlog.go:22 | 日志已启动
2020-07-23 11:42:57 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 11:42:57 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 11:42:57 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:42:57 [INF] initrpc.go:13 | RPC服务注册
2020-07-23 11:43:09 [INF] userserver.go:19 | hello from client
2020-07-23 11:46:58 [INF] initlog.go:22 | 日志已启动
2020-07-23 11:46:58 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 11:46:58 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 11:46:58 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:46:58 [INF] initrpc.go:13 | RPC服务注册
2020-07-23 11:52:26 [INF] initlog.go:22 | 日志已启动
2020-07-23 11:52:26 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 11:52:26 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 11:52:26 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 11:52:26 [INF] initrpc.go:13 | RPC服务注册
2020-07-23 11:52:34 [INF] userserver.go:19 | {"id":"1","user":"tom","password":"123456","profilepic":"tom"}
2020-07-23 11:52:45 [INF] userserver.go:19 | {"id":"1","user":"tom","password":"123456","profilepic":"tom"}
2020-07-23 16:25:54 [INF] initlog.go:22 | 日志已启动
2020-07-23 16:25:54 [INF] initmysql.go:22 | MySQL IP:127.0.0.1
2020-07-23 16:25:54 [INF] initmysql.go:24 | MySQL port:3306
2020-07-23 16:25:54 [INF] initmysql.go:39 | 数据库已经链接
2020-07-23 16:25:54 [INF] initrpc.go:13 | RPC服务注册
2020-07-23 16:26:28 [INF] userserver.go:21 | 
2020-07-23 16:27:02 [INF] initlog.go:22 | 日志已启动
